De Tarapaca;59546;28090;47,17;2,14;45,03;1
De Antofagasta;113276;58916;52,01;3,18;48,83;2
De Ñuble;89222;41600;46,63;4,16;42,47;3
De Atacama;55685;27900;50,1;2,02;48,08;4
De Coquimbo;138051;69863;50,61;3,03;47,58;5
De Valparaiso;331364;198339;59,86;6,08;53,78;6
Del Libertador General Bernardo O'Higgins;167175;93777;56,1;5,5;50,6;7
Del Maule;190070;94573;49,76;4,4;45,36;8
Del Biobio;291279;151388;51,97;4,17;47,8;9
De La Araucania;186737;83618;44,78;4,68;40,1;10
De Los Lagos;158123;74818;47,32;4,44;42,88;11
De Aysen Del General Carlos Ibáñez Del Campo;18687;8224;44,01;4,6;39,41;12
De Magallanes Y De La Antartica Chilena;28383;14973;52,75;11,5;41,25;13
Metropolitana De Santiago;1286469;818795;63,65;7,18;56,47;14
De Los Rios;73691;36045;48,91;4,02;44,89;15
De Arica Y Parinacota;41780;20155;48,24;3,09;45,15;16
